keyword,title,price,likes,views,brand,country,url,status,sold_confirmed,offers,published_at,age_hours,age_band,score,verdict
stanley bottle,"Stanley Iceflow Bottle | 0,6L | Nieuw",34.0,22,0,Stanley,,https://www.vinted.fr/items/9056163256,active,False,0,2026-06-05 06:54:28 CEST,168.0,1 week,0,⚠️ Low
stanley bottle,Stanley IceFlow  Bottle Fast Flow | 0.71L,30.0,30,0,Stanley,,https://www.vinted.fr/items/9053267140,active,False,0,2026-06-05 06:54:28 CEST,168.0,1 week,0,⚠️ Low
stanley bottle,Stanley Bottle,14.0,8,0,Stanley,,https://www.vinted.fr/items/9042257372,active,False,0,2026-06-05 06:54:33 CEST,168.0,1 week,0,⚠️ Low
stanley bottle,Stanley IceFlow Stainless steel tumbler,80.0,0,0,Stanley,,https://www.vinted.fr/items/9057932100,active,False,0,2026-06-05 06:54:39 CEST,168.0,1 week,0,⚠️ Low
stanley bottle,Stanley Quencher H2.0 FlowState Vacuum Insulated Stainless Steel Tumbler,45.0,1,0,Stanley,,https://www.vinted.fr/items/9058005473,active,False,0,2026-06-05 06:54:40 CEST,168.0,1 week,0,⚠️ Low
stanley bottle,Termo estilo stanley,16.99,0,0,Decathlon,,https://www.vinted.fr/items/9090135689,active,False,0,2026-06-05 06:54:45 CEST,168.0,1 week,0,⚠️ Low
stanley bottle,Stanley borraccia,29.0,18,0,Stanley,,https://www.vinted.fr/items/9047963741,active,False,0,2026-06-05 06:54:50 CEST,168.0,1 week,0,⚠️ Low
stanley bottle,Stanley Quencher H2.0,39.0,38,0,Stanley,,https://www.vinted.fr/items/9031676838,active,False,0,2026-06-05 06:54:53 CEST,168.0,1 week,0,⚠️ Low
stanley bottle,Stanley Adventure Termos 1L,40.0,16,0,Stanley,,https://www.vinted.fr/items/9022147373,active,False,0,2026-05-29 06:54:57 CEST,336.0,1 month,0,⚠️ Low
stanley bottle,stanley cup accessory / attachment,1.0,4,0,Shein,,https://www.vinted.fr/items/9077168499,active,False,0,2026-06-05 06:55:03 CEST,168.0,1 week,0,⚠️ Low
stanley bottle,Stanley,25.0,9,0,Stanley,,https://www.vinted.fr/items/9043829799,active,False,0,2026-06-05 06:55:03 CEST,168.0,1 week,0,⚠️ Low
stanley bottle,Stanley quencher H2.0 FlowState Tumbler 1.2L,38.0,6,0,Stanley,,https://www.vinted.fr/items/9043480403,active,False,0,,24.0,24h,3,👀 Early Watchlist
stanley bottle,Stanley IceFlow Flip Bottle - Grey,20.0,22,0,Stanley,,https://www.vinted.fr/items/9017806181,active,False,0,2026-05-29 06:55:14 CEST,336.0,1 month,0,⚠️ Low
stanley bottle,"Stanley Cup verte 1,2L",12.5,5,0,bigrd bottle,,https://www.vinted.fr/items/9070585904,active,False,0,2026-06-05 06:55:15 CEST,168.0,1 week,0,⚠️ Low
stanley bottle,Stanley x Messi 1.89 L,70.0,9,0,Stanley,,https://www.vinted.fr/items/9031102980,active,False,0,2026-06-05 06:55:19 CEST,168.0,1 week,0,⚠️ Low
stanley bottle,Rice Yeti Miir Klean Kanteen Stanley Stainless Steel Bottle,20.0,64,0,rice,,https://www.vinted.fr/items/9063078856,active,False,0,2026-06-05 06:55:25 CEST,168.0,1 week,0,⚠️ Low
stanley bottle,Stanley Cup Tumbler Creme/Weiß neu unbenutzt,35.0,24,0,Stanley,,https://www.vinted.fr/items/9025546743,active,False,0,2026-05-29 06:55:26 CEST,336.0,1 month,0,⚠️ Low
stanley bottle,StanleyxStarbucks thermos,30.0,2,0,Stanley,,https://www.vinted.fr/items/9008318811,active,False,0,2026-05-29 06:55:32 CEST,336.0,1 month,0,⚠️ Low
stanley bottle,Lilac metal water bottle,5.0,4,0,Source Unknown,,https://www.vinted.fr/items/9058803555,active,False,0,2026-06-05 06:55:35 CEST,168.0,1 week,0,⚠️ Low
stanley bottle,Garrafa térmica Stanley verde,40.0,20,0,Stanley,,https://www.vinted.fr/items/9000227891,active,False,0,2026-05-29 06:55:38 CEST,336.0,1 month,0,⚠️ Low
stanley bottle,Stanley tumbler,38.0,3,0,Stanley,,https://www.vinted.fr/items/9002444028,active,False,0,2026-05-29 06:55:42 CEST,336.0,1 month,0,⚠️ Low
stanley bottle,Stanley Cup „Cross Bottle“ NEU,70.0,22,0,Stanley,,https://www.vinted.fr/items/8999793275,active,False,0,2026-05-29 06:55:43 CEST,336.0,1 month,0,⚠️ Low
